id,name,ssn,phone,email,address,team_id
1,Bailee Ward,0402781920,7048321,ureinger@carter.com,64 Marconi Street,1
2,Yaritza Parker,1403757007,8204353,nkuphal@sawayn.com,Amarillo. TX 79106,1
3,Lucille Huber,0906938484,8176209,hildegard.kiehn@gmail.com,9318 Dunbar Street,1
4,Jayce Barton,2005715700,8814813,claudia63@oberbrunner.net,Port Charlotte. FL 33952,1
5,Gianna Wilkinson,0806915186,5743031,katrina86@gmail.com,628 Surrey St.,2
6,Emmalee Gordon,3005908874,5468270,roscoe13@bosco.biz,Owings Mills. MD 21117,2
7,Paul Perry,0209976651,7131483,alec.gleason@hirthe.com,346 Lafayette St.,2
8,Ashanti Combs,1311826694,8539731,fbins@yahoo.com,Pittsford. NY 14534,2
9,Salma Frye,1206935430,7886338,initzsche@heathcote.com,535 Swanson St.,3
10,Tomas Burton,2403869956,6882878,cedrick.pfeffer@hotmail.com,Beltsville. MD 20705,3
11,Jordan Patterson,0904946922,7371615,gkautzer@hotmail.com,59 E. Ridgeview St.,3
12,Larissa Massey,1407741425,5856844,kristopher60@gmail.com,Davenport. IA 52804,3
13,Ernesto Vang,0106854960,7643293,jayda.roob@powlowski.com,142 Shore Road,4
14,Briana Dickerson,2706881448,6381360,bell.towne@hotmail.com,Medford. MA 02155,4
15,Dashawn Becker,2209941668,5742804,wiegand.marlen@yahoo.com,99 Goldfield Ave.,4
16,Leah Guzman,0804983054,6436078,orlando81@yahoo.com,Satellite Beach. FL 32937,4
17,Amya Graves,0605857888,5363645,alisa27@hansen.com,19 Pheasant Court,5
18,Allan Ryan,1911924885,6623839,chaya79@keeling.info,Lenoir. NC 28645,5
19,Tiffany Cooley,1311965489,5413812,tess63@gaylord.com,39 Main St.,5
20,Gillian Coffey,2303961336,5373917,edaniel@oberbrunner.com,Middle River. MD 21220,5
21,Eleanor Sellers,2907841005,7449085,pboyer@hotmail.com,7634 South Campfire St.,6
22,Susan Gibson,2209704874,5518703,blesch@hotmail.com,Valdosta. GA 31601,6
23,Kallie George,0904811032,6627467,grayson.borer@hotmail.com,8796 Longfellow St.,6
24,Gabriella Arroyo,0103958917,6761493,cbruen@gmail.com,Chapel Hill. NC 27516,6
25,Tyshawn Davila,1702896289,8298352,nico.dare@gmail.com,42 East Ridgewood Rd.,7
26,Noemi Barr,1202892949,5984435,hilma.beatty@yahoo.com,Circle Pines. MN 55014,7
27,Sergio Benton,0201731234,8657988,alaina.mccullough@durgan.info,7463 Pin Oak Ave.,7
28,Anahi Bray,1402773676,6538584,vcollier@hotmail.com,Suffolk. VA 23434,7
29,Pedro Dean,1310748253,5275016,toy.gerald@hotmail.com,7767 Rose Ave.,8
30,Isiah Oliver,1704853734,7917077,eloisa.jenkins@stanton.com,Scotch Plains. NJ 07076,8
31,Libby Preston,0110731363,8268048,ankunding.jaquelin@mcdermott.info,95 NW. Edgefield Dr.,8
32,Enzo Richards,1005811079,5965965,oaufderhar@yahoo.com,Ozone Park. NY 11417,8
33,Miriam Wiley,2502861844,5633423,zgibson@yahoo.com,7430 East Walt Whitman Court,9
34,Aidan Guerra,1306988132,8141325,melyna06@brown.net,Apple Valley. CA 92307,9
35,Leonidas Garcia,0304957202,8891144,bertrand.herman@yahoo.com,9940 W. Augusta Ave.,9
36,Kaila Patrick,2109762106,6381682,odie.rau@west.com,Fishers. IN 46037,9
37,Karson Banks,1202708135,7194572,judy.bartell@yahoo.com,82 Pilgrim Drive,10
38,Bruce Landry,1707839481,8558488,ryann.grady@christiansen.biz,Zionsville. IN 46077,10
39,Dulce Burch,0707844365,5601747,eokeefe@bailey.org,8353 Manchester Road,10
